loan_id,borrower_id,borrower_name,state,origination_date,maturity_date,original_principal,current_balance,interest_rate,payment_status,days_past_due,last_updated_at,document_status
LN-0015,BR-0015,Sarah Moore,VA,2022-12-04,2052-11-26,342836.21,144849.84,10.2,current,0,2026-06-19,unknown
LN-0016,BR-0016,Elizabeth Williams,LA,2023-02-17,2048-02-11,317471.16,268134.32,7.94,current,0,2026-07-29,unknown
LN-0017,BR-0017,Jessica Smith,CO,2025-11-15,2055-11-08,305490.17,275143.79,5.52,current,0,2026-08-01,unknown
LN-0018,BR-0018,Mark Miller,OH,2025-10-12,2050-10-06,162555.59,137158.82,3.48,current,0,2026-08-01,unknown
LN-0019,BR-0019,Michael Scott,NV,2024-02-24,2049-02-17,302248.5,283296.48,5.71,current,0,2026-08-07,unknown
LN-0020,BR-0020,Betty White,IL,2024-04-26,2054-04-19,161802.51,109379.36,3.6,current,0,2026-06-25,unknown
LN-0021,BR-0021,Joseph Williams,RI,2024-11-20,2049-11-14,185373.77,161412.74,10.55,current,0,2026-08-06,unknown
LN-0022,BR-0022,Thomas Lewis,IL,2022-12-06,2052-11-28,504558,231295.72,10.29,current,0,2026-08-09,unknown
LN-0023,BR-0023,Kimberly Walker,MD,2025-11-19,2050-11-13,407902.09,392977.23,10.25,current,0,2026-06-08,unknown
LN-0024,BR-0024,Sarah Garcia,PA,2022-12-27,2052-12-19,332441.42,242832.46,5.48,current,0,2026-06-27,unknown
LN-0025,BR-0025,Matthew Wright,AR,2024-04-07,2044-04-02,321491.79,187646.13,11.55,delinquent,63,2026-06-03,unknown
LN-0026,BR-0026,Mark Nguyen,TN,2024-06-30,2049-06-24,406564.86,236922.81,9.96,current,0,2026-07-14,unknown
LN-0027,BR-0027,Mark Miller,WV,2024-10-09,2039-10-06,371265.83,165254.28,12.78,current,0,2026-08-21,unknown
LN-0028,BR-0028,Joshua Sanchez,TN,2023-03-14,2038-03-10,103581.52,84103.18,7.31,delinquent,83,2026-06-10,unknown
LN-0029,BR-0029,Donald Jackson,GA,2024-05-27,2044-05-22,339290.93,327047.84,5.45,current,0,2026-06-25,unknown
LN-0030,BR-0030,Joseph Robinson,SC,2024-09-27,2054-09-20,157936.7,75636.19,3.83,current,0,2026-06-28,unknown
LN-0031,BR-0031,Robert Jackson,WY,2025-01-08,2040-01-05,188876.08,105078.5,8.81,delinquent,78,2026-07-30,unknown
LN-0032,BR-0032,Charles Lopez,LA,2024-09-26,2054-09-19,107988.84,66041.57,8.89,current,0,2026-06-29,unknown
LN-0033,BR-0033,Emily Davis,CT,2022-07-31,2047-07-25,279503.74,146648.29,7.41,current,0,2026-06-20,unknown
LN-0034,BR-0034,Robert Davis,ME,2025-11-08,2055-11-01,181468.18,153211.15,4.68,current,0,2026-08-06,unknown
LN-0035,BR-0035,Elizabeth Garcia,ND,2024-10-23,2049-10-17,297308.62,259536.82,3.07,current,0,2026-07-14,unknown
LN-0036,BR-0036,Jennifer Clark,PA,2025-01-07,2045-01-02,200016.04,110489.92,6.82,delinquent,69,2026-07-02,unknown
LN-0037,BR-0037,William Gonzalez,AL,2025-05-25,2045-05-20,201773.1,178544.31,6.48,current,0,2026-08-07,unknown
LN-0038,BR-0038,Mary Nguyen,IL,2025-04-02,2040-03-29,461611.07,321248.76,11.14,current,0,2026-08-03,unknown
LN-0039,BR-0039,Patricia Flores,CT,2023-04-12,2053-04-04,343555.04,215074.48,4.37,current,0,2026-08-13,unknown
LN-0040,BR-0040,Robert Allen,MN,2024-10-08,2039-10-05,500707.99,185258.59,10.02,current,0,2026-07-04,unknown
LN-0041,BR-0041,Thomas Jones,CT,2024-10-03,2039-09-30,225910.49,163586.13,12.98,current,0,2026-07-26,unknown
LN-0042,BR-0042,Jessica Jackson,MI,2022-12-26,2037-12-22,533573.79,516434.89,3.86,current,0,2026-06-30,unknown
LN-0043,BR-0043,Ashley Flores,HI,2025-10-29,2045-10-24,362316.24,156097.29,7.92,current,0,2026-07-07,unknown
LN-0044,BR-0044,Michael Rodriguez,MS,2023-11-12,2043-11-07,417399.49,192785.94,6.33,current,0,2026-06-02,unknown
LN-0045,BR-0045,Donald Anderson,DE,2024-09-28,2054-09-21,438492.32,216606.26,7.59,current,0,2026-08-10,unknown
,BR-0046,Paul Scott,NC,2024-10-04,2049-09-28,203395.21,142376.65,9.67,current,0,2026-08-14,unknown
,BR-0047,James Hill,AK,2024-04-11,2049-04-05,257476.24,180233.37,4.96,current,0,2026-07-08,unknown
LN-0001,BR-0048,Karen Johnson,MS,2024-02-25,2049-02-18,128867.79,90207.45,7.6,current,0,2026-08-06,unknown
LN-0002,BR-0049,Emily Scott,NJ,2025-09-29,2050-09-23,158280.39,110796.27,5.5,current,0,2026-07-15,unknown
LN-0050,BR-DUPE,Anthony Moore,NV,2024-03-13,2049-08-04,200000,73559.02,9.88,current,0,2026-08-21,unknown
LN-0051,BR-DUPE,Nancy Flores,VA,2024-03-13,2050-02-24,200000,151309.58,4.69,current,0,2026-07-10,unknown
LN-0052,BR-0052,Nancy Rodriguez,KY,2025-04-17,2024-06-21,285111.31,199577.92,7.06,current,0,2026-08-04,unknown
LN-0053,BR-0053,Steven Ramirez,AZ,2023-05-20,2048-05-13,100000,110000,5.46,current,0,2026-07-27,unknown
LN-0054,BR-0054,Michelle Johnson,FL,2024-02-17,2049-02-10,227555.5,-5000,4.05,current,0,2026-07-20,unknown
LN-0055,BR-0055,Jennifer Williams,OK,2023-12-09,2048-12-02,161845.71,113292,45,current,0,2026-07-29,unknown
LN-0056,BR-0056,Linda Williams,RI,2026-01-18,2051-01-12,92257.6,64580.32,6.3,current,90,2026-07-23,unknown
LN-0057,BR-0057,Joshua Hill,WA,2023-12-05,2048-11-28,106032.16,12000,5.96,paid_off,0,2026-08-08,unknown
LN-0058,BR-0058,John Robinson,ZZ,2025-02-28,2050-02-22,374310.62,262017.43,8.12,current,0,2026-07-05,unknown
LN-0059,BR-0059,Elizabeth Lee,ME,2025-06-08,2050-06-02,99875.54,69912.88,7.96,current,0,2025-07-06,unknown
LN-0060,BR-0060,Sandra Wilson,KY,2024-03-10,2049-03-04,178907.11,125234.98,10.36,current,0,2026-07-13,missing
